1	2.35
2	4.46
3	6.56
4	8.67
5	10.77
6	12.86
7	14.96
8	17.06
9	19.15
10	21.24
11	23.36
12	25.45
13	27.54
14	29.63
15	31.73
16	33.82
17	35.91
18	38.01
19	40.10
20	42.20
21	44.29
22	46.41
23	48.50
24	50.59
25	52.69
26	54.78
27	56.87
28	58.96
29	61.06
30	63.15
31	65.24
32	67.33
33	69.42
34	71.51
35	73.60
36	75.69
37	77.79
38	79.88
39	81.99
40	84.09
41	86.18
42	88.27
43	90.37
44	92.46
45	94.55
46	96.64
47	98.73
48	100.84
49	102.93
50	105.02
51	107.11
52	109.21
53	111.30
54	113.39
55	115.48
56	117.58
57	119.66
58	121.76
59	123.85
60	125.94
61	128.03
62	130.12
63	132.21
64	134.30
65	136.39
66	138.48
67	140.57
68	142.66
69	144.75
70	146.84
71	148.93
72	151.03
73	153.12
74	155.21
75	157.30
76	159.39
77	161.48
78	163.59
79	165.70
80	167.79
81	169.88
82	171.98
83	174.07
84	176.16
85	178.26
86	180.35
87	182.44
88	184.53
89	186.62
90	188.72
91	190.82
92	192.91
93	195.00
94	197.09
95	199.18
96	201.27
97	203.36
98	205.45
99	207.55
100	209.65
101	211.74
102	213.83
103	215.92
104	218.01
105	220.10
106	222.19
107	224.29
108	226.38
109	228.47
110	230.56
111	232.65
112	234.74
113	236.85
114	238.94
115	241.03
116	243.12
117	245.21
118	247.33
119	249.42
120	251.51
121	253.62
122	255.71
123	257.80
124	259.90
125	261.99
126	264.08
127	266.17
128	268.27
129	270.36
130	272.45
131	274.55
132	276.64
133	278.73
134	280.82
135	282.90
136	284.99
137	287.09
138	289.20
139	291.29
140	293.38
141	295.48
142	297.57
143	299.66
144	301.76
145	303.85
146	305.96
147	308.05
148	310.14
149	312.23
150	314.32
