1;99.41.106.121;8;99.144.59.126
8;99.144.59.126;1;99.41.106.121
1;99.41.106.121;6;99.204.212.253
6;99.204.212.253;1;99.41.106.121
1;99.41.106.121;3;99.250.249.113
3;99.250.249.113;1;99.41.106.121
2;99.151.243.76;10;99.225.85.204
10;99.225.85.204;2;99.151.243.76
3;99.250.249.113;8;99.144.59.126
8;99.144.59.126;3;99.250.249.113
4;99.127.247.100;9;99.2.53.150
9;99.2.53.150;4;99.127.247.100
4;99.127.247.100;10;99.225.85.204
10;99.225.85.204;4;99.127.247.100
4;99.127.247.100;7;99.155.166.48
7;99.155.166.48;4;99.127.247.100
4;99.127.247.100;5;99.217.110.200
5;99.217.110.200;4;99.127.247.100
5;99.217.110.200;7;99.155.166.48
7;99.155.166.48;5;99.217.110.200
5;99.217.110.200;9;99.2.53.150
9;99.2.53.150;5;99.217.110.200
6;99.204.212.253;8;99.144.59.126
8;99.144.59.126;6;99.204.212.253
6;99.204.212.253;9;99.2.53.150
9;99.2.53.150;6;99.204.212.253
7;99.155.166.48;10;99.225.85.204
10;99.225.85.204;7;99.155.166.48
