1;99.132.1.42;2;99.158.234.140
2;99.158.234.140;1;99.132.1.42
1;99.132.1.42;3;99.152.163.122
3;99.152.163.122;1;99.132.1.42
1;99.132.1.42;5;99.97.124.124
5;99.97.124.124;1;99.132.1.42
1;99.132.1.42;7;99.18.181.255
7;99.18.181.255;1;99.132.1.42
1;99.132.1.42;9;99.123.186.161
9;99.123.186.161;1;99.132.1.42
2;99.158.234.140;3;99.152.163.122
3;99.152.163.122;2;99.158.234.140
2;99.158.234.140;5;99.97.124.124
5;99.97.124.124;2;99.158.234.140
2;99.158.234.140;7;99.18.181.255
7;99.18.181.255;2;99.158.234.140
2;99.158.234.140;9;99.123.186.161
9;99.123.186.161;2;99.158.234.140
3;99.152.163.122;5;99.97.124.124
5;99.97.124.124;3;99.152.163.122
3;99.152.163.122;7;99.18.181.255
7;99.18.181.255;3;99.152.163.122
3;99.152.163.122;8;99.122.62.98
8;99.122.62.98;3;99.152.163.122
3;99.152.163.122;9;99.123.186.161
9;99.123.186.161;3;99.152.163.122
3;99.152.163.122;10;99.213.250.87
10;99.213.250.87;3;99.152.163.122
4;99.152.79.114;6;99.211.142.139
6;99.211.142.139;4;99.152.79.114
4;99.152.79.114;7;99.18.181.255
7;99.18.181.255;4;99.152.79.114
4;99.152.79.114;9;99.123.186.161
9;99.123.186.161;4;99.152.79.114
4;99.152.79.114;10;99.213.250.87
10;99.213.250.87;4;99.152.79.114
5;99.97.124.124;7;99.18.181.255
7;99.18.181.255;5;99.97.124.124
5;99.97.124.124;9;99.123.186.161
9;99.123.186.161;5;99.97.124.124
5;99.97.124.124;10;99.213.250.87
10;99.213.250.87;5;99.97.124.124
6;99.211.142.139;7;99.18.181.255
7;99.18.181.255;6;99.211.142.139
6;99.211.142.139;8;99.122.62.98
8;99.122.62.98;6;99.211.142.139
6;99.211.142.139;9;99.123.186.161
9;99.123.186.161;6;99.211.142.139
6;99.211.142.139;10;99.213.250.87
10;99.213.250.87;6;99.211.142.139
7;99.18.181.255;9;99.123.186.161
9;99.123.186.161;7;99.18.181.255
7;99.18.181.255;10;99.213.250.87
10;99.213.250.87;7;99.18.181.255
8;99.122.62.98;9;99.123.186.161
9;99.123.186.161;8;99.122.62.98
8;99.122.62.98;10;99.213.250.87
10;99.213.250.87;8;99.122.62.98
9;99.123.186.161;10;99.213.250.87
10;99.213.250.87;9;99.123.186.161
